REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2019/01/05 11:00:00,1074.61,108.85,TRADE
TAS1,2019/01/05 11:30:00,1064.59,88.47,TRADE
TAS1,2019/01/05 12:00:00,1037.8,117.38,TRADE
TAS1,2019/01/05 12:30:00,1031.26,111.97,TRADE
TAS1,2019/01/05 13:00:00,1008.6,110.53,TRADE
TAS1,2019/01/05 13:30:00,1007.29,84.66,TRADE
TAS1,2019/01/05 14:00:00,1024.79,63.19,TRADE
TAS1,2019/01/05 14:30:00,1020.84,97.83,TRADE
TAS1,2019/01/05 15:00:00,1008.01,62.47,TRADE
TAS1,2019/01/05 15:30:00,1027.97,110.43,TRADE
TAS1,2019/01/05 16:00:00,1056.65,110.74,TRADE
TAS1,2019/01/05 16:30:00,1080.95,110.75,TRADE
TAS1,2019/01/05 17:00:00,1110.86,111.82,TRADE
TAS1,2019/01/05 17:30:00,1114.93,113.71,TRADE
TAS1,2019/01/05 18:00:00,1130.97,110.76,TRADE
TAS1,2019/01/05 18:30:00,1140.62,110.76,TRADE
TAS1,2019/01/05 19:00:00,1125.04,111.58,TRADE
TAS1,2019/01/05 19:30:00,1125.2,110.76,TRADE
TAS1,2019/01/05 20:00:00,1120.92,110.76,TRADE
TAS1,2019/01/05 20:30:00,1130.85,114,TRADE
TAS1,2019/01/05 21:00:00,1134.03,110.76,TRADE
TAS1,2019/01/05 21:30:00,1130.47,110.76,TRADE
TAS1,2019/01/05 22:00:00,1085.65,110.74,TRADE
TAS1,2019/01/05 22:30:00,1066.15,110.76,TRADE
TAS1,2019/01/05 23:00:00,1050.89,110.76,TRADE
TAS1,2019/01/05 23:30:00,1033.95,111.67,TRADE
TAS1,2019/01/06 00:00:00,1017.42,122.32,TRADE
TAS1,2019/01/06 00:30:00,1002.37,110.76,TRADE
TAS1,2019/01/06 01:00:00,1013.82,110.76,TRADE
TAS1,2019/01/06 01:30:00,999.71,110.76,TRADE
TAS1,2019/01/06 02:00:00,939.86,112.18,TRADE
TAS1,2019/01/06 02:30:00,975.2,112.27,TRADE
TAS1,2019/01/06 03:00:00,962.96,110.76,TRADE
TAS1,2019/01/06 03:30:00,967.24,110.76,TRADE
TAS1,2019/01/06 04:00:00,962.92,110.76,TRADE
TAS1,2019/01/06 04:30:00,973.24,111.83,TRADE
TAS1,2019/01/06 05:00:00,964.48,111.83,TRADE
TAS1,2019/01/06 05:30:00,972.43,142.79,TRADE
TAS1,2019/01/06 06:00:00,978.4,141.10,TRADE
TAS1,2019/01/06 06:30:00,1014.23,111.83,TRADE
TAS1,2019/01/06 07:00:00,1001.72,111.83,TRADE
TAS1,2019/01/06 07:30:00,1036.9,111.84,TRADE
TAS1,2019/01/06 08:00:00,1063.69,111.83,TRADE
TAS1,2019/01/06 08:30:00,1072.58,111.84,TRADE
TAS1,2019/01/06 09:00:00,1085.89,111.84,TRADE
TAS1,2019/01/06 09:30:00,1080.6,111.83,TRADE
TAS1,2019/01/06 10:00:00,1058.82,111.83,TRADE
TAS1,2019/01/06 10:30:00,1043.41,111.86,TRADE
TAS1,2019/01/06 11:00:00,1035.54,112.82,TRADE
TAS1,2019/01/06 11:30:00,1015.93,111.86,TRADE
TAS1,2019/01/06 12:00:00,1018.26,111.86,TRADE
TAS1,2019/01/06 12:30:00,1017.94,111.86,TRADE
TAS1,2019/01/06 13:00:00,1011.46,111.86,TRADE
TAS1,2019/01/06 13:30:00,1011.7,111.86,TRADE
TAS1,2019/01/06 14:00:00,1025.52,111.86,TRADE
TAS1,2019/01/06 14:30:00,1027.1,111.86,TRADE
TAS1,2019/01/06 15:00:00,1034.58,111.86,TRADE
TAS1,2019/01/06 15:30:00,1042.22,112.82,TRADE
TAS1,2019/01/06 16:00:00,1059.49,113.45,TRADE
TAS1,2019/01/06 16:30:00,1094.48,113.77,TRADE
TAS1,2019/01/06 17:00:00,1129.2,113.77,TRADE
TAS1,2019/01/06 17:30:00,1142.68,113.77,TRADE
TAS1,2019/01/06 18:00:00,1144.53,113.77,TRADE
TAS1,2019/01/06 18:30:00,1150.12,113.93,TRADE
TAS1,2019/01/06 19:00:00,1150.03,144.82,TRADE
TAS1,2019/01/06 19:30:00,1151.42,130.45,TRADE
TAS1,2019/01/06 20:00:00,1139.39,129.56,TRADE
TAS1,2019/01/06 20:30:00,1153.12,136.69,TRADE
TAS1,2019/01/06 21:00:00,1140.43,137.72,TRADE
TAS1,2019/01/06 21:30:00,1124.64,131.37,TRADE
TAS1,2019/01/06 22:00:00,1105.43,122.49,TRADE
TAS1,2019/01/06 22:30:00,1080.36,111.86,TRADE
TAS1,2019/01/06 23:00:00,1055.09,113.29,TRADE
TAS1,2019/01/06 23:30:00,1049.81,111.86,TRADE
TAS1,2019/01/07 00:00:00,1039.99,111.86,TRADE
TAS1,2019/01/07 00:30:00,1023.91,111.86,TRADE
TAS1,2019/01/07 01:00:00,1016.66,111.86,TRADE
TAS1,2019/01/07 01:30:00,1014.64,111.86,TRADE
TAS1,2019/01/07 02:00:00,991.08,111.85,TRADE
TAS1,2019/01/07 02:30:00,957.97,111.83,TRADE
TAS1,2019/01/07 03:00:00,949.19,111.83,TRADE
TAS1,2019/01/07 03:30:00,938.72,111.83,TRADE
TAS1,2019/01/07 04:00:00,955.33,111.84,TRADE
TAS1,2019/01/07 04:30:00,986.68,111.86,TRADE
TAS1,2019/01/07 05:00:00,1011.7,111.86,TRADE
TAS1,2019/01/07 05:30:00,1048.35,111.86,TRADE
TAS1,2019/01/07 06:00:00,1073.65,119.79,TRADE
TAS1,2019/01/07 06:30:00,1115.99,111.83,TRADE
TAS1,2019/01/07 07:00:00,1119.99,111.83,TRADE
TAS1,2019/01/07 07:30:00,1130.33,111.83,TRADE
TAS1,2019/01/07 08:00:00,1124.58,111.84,TRADE
TAS1,2019/01/07 08:30:00,1112.14,111.83,TRADE
TAS1,2019/01/07 09:00:00,1128.23,111.83,TRADE
TAS1,2019/01/07 09:30:00,1113.5,111.83,TRADE
TAS1,2019/01/07 10:00:00,1082.96,112.48,TRADE
TAS1,2019/01/07 10:30:00,1086.48,116.19,TRADE
TAS1,2019/01/07 11:00:00,1069.7,112.32,TRADE
TAS1,2019/01/07 11:30:00,1060.06,111.83,TRADE
TAS1,2019/01/07 12:00:00,1059.41,113.77,TRADE
TAS1,2019/01/07 12:30:00,1051.11,113.77,TRADE
TAS1,2019/01/07 13:00:00,1046.62,113.65,TRADE
TAS1,2019/01/07 13:30:00,1049.12,116.64,TRADE
TAS1,2019/01/07 14:00:00,1039.12,113.77,TRADE
TAS1,2019/01/07 14:30:00,1050.42,113.14,TRADE
TAS1,2019/01/07 15:00:00,1048.42,104.25,TRADE
TAS1,2019/01/07 15:30:00,1071.05,87.22,TRADE
TAS1,2019/01/07 16:00:00,1088.77,115.62,TRADE
TAS1,2019/01/07 16:30:00,1112.24,151.46,TRADE
TAS1,2019/01/07 17:00:00,1154.47,162.52,TRADE
TAS1,2019/01/07 17:30:00,1179.28,88.33,TRADE
TAS1,2019/01/07 18:00:00,1176.21,78.64,TRADE
TAS1,2019/01/07 18:30:00,1169.07,78.39,TRADE
TAS1,2019/01/07 19:00:00,1154.75,287.58,TRADE
TAS1,2019/01/07 19:30:00,1127.91,135.21,TRADE
TAS1,2019/01/07 20:00:00,1130.73,120.30,TRADE
TAS1,2019/01/07 20:30:00,1146.33,139.02,TRADE
TAS1,2019/01/07 21:00:00,1108.82,114.50,TRADE
TAS1,2019/01/07 21:30:00,1089.17,114.04,TRADE
TAS1,2019/01/07 22:00:00,1066.71,113.18,TRADE
TAS1,2019/01/07 22:30:00,1046.01,113.18,TRADE
TAS1,2019/01/07 23:00:00,1050.82,113.18,TRADE
TAS1,2019/01/07 23:30:00,1041.24,121.33,TRADE
TAS1,2019/01/08 00:00:00,1038.76,152.88,TRADE
TAS1,2019/01/08 00:30:00,1012.28,114.50,TRADE
TAS1,2019/01/08 01:00:00,1010.91,112.38,TRADE
TAS1,2019/01/08 01:30:00,1011.8,111.86,TRADE
TAS1,2019/01/08 02:00:00,1005.6,111.86,TRADE
TAS1,2019/01/08 02:30:00,1004.61,111.86,TRADE
TAS1,2019/01/08 03:00:00,999.78,111.86,TRADE
TAS1,2019/01/08 03:30:00,999.41,111.86,TRADE
TAS1,2019/01/08 04:00:00,999.37,111.86,TRADE
TAS1,2019/01/08 04:30:00,1022.72,136.69,TRADE
TAS1,2019/01/08 05:00:00,1058.81,141.83,TRADE
TAS1,2019/01/08 05:30:00,1089.24,132.30,TRADE
TAS1,2019/01/08 06:00:00,1133.44,130.16,TRADE
TAS1,2019/01/08 06:30:00,1182.69,144.02,TRADE
TAS1,2019/01/08 07:00:00,1183.27,121.53,TRADE
TAS1,2019/01/08 07:30:00,1175.84,112.28,TRADE
TAS1,2019/01/08 08:00:00,1156.32,127.49,TRADE
TAS1,2019/01/08 08:30:00,1133.41,115.95,TRADE
TAS1,2019/01/08 09:00:00,1108.11,110.27,TRADE
TAS1,2019/01/08 09:30:00,1096.66,111.98,TRADE
TAS1,2019/01/08 10:00:00,1096.27,115.96,TRADE
TAS1,2019/01/08 10:30:00,1084.29,117.48,TRADE
TAS1,2019/01/08 11:00:00,1077.74,123.06,TRADE
TAS1,2019/01/08 11:30:00,1086.09,87.68,TRADE
TAS1,2019/01/08 12:00:00,1072.22,69.42,TRADE
TAS1,2019/01/08 12:30:00,1046.24,76.05,TRADE
TAS1,2019/01/08 13:00:00,1038.21,113.33,TRADE
TAS1,2019/01/08 13:30:00,1066.51,93.25,TRADE
TAS1,2019/01/08 14:00:00,1074.46,85.94,TRADE
TAS1,2019/01/08 14:30:00,1076.24,115.23,TRADE
TAS1,2019/01/08 15:00:00,1077.13,106.80,TRADE
TAS1,2019/01/08 15:30:00,1074.75,114.44,TRADE
TAS1,2019/01/08 16:00:00,1090.66,140.15,TRADE
TAS1,2019/01/08 16:30:00,1131.93,187.96,TRADE
TAS1,2019/01/08 17:00:00,1132.37,73.19,TRADE
TAS1,2019/01/08 17:30:00,1126.48,63.95,TRADE
TAS1,2019/01/08 18:00:00,1121.08,83.98,TRADE
TAS1,2019/01/08 18:30:00,1109.03,73.39,TRADE
TAS1,2019/01/08 19:00:00,1107.96,104.53,TRADE
